sep=;
Device ID;LBR-0028391;;
Series No;0003
Shot No;0016

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2748.40;0.00;-
0.007021;2740.71;6.42;32.13
0.008021;2736.70;7.33;36.56
0.009021;2735.45;8.24;35.07
0.010021;2735.61;9.15;32.52
0.011021;2735.91;10.06;28.72
0.012021;2733.86;10.98;27.17
0.013021;2732.20;11.89;26.91
0.014021;2730.45;12.80;26.34
0.015021;2729.50;13.71;26.17
0.016021;2728.21;14.62;25.11
0.017021;2727.07;15.53;24.43
0.018021;2725.90;16.43;22.46
0.019021;2723.55;17.34;22.55
0.020021;2725.18;18.25;21.00
0.021021;2721.84;19.16;21.47
0.022021;2720.09;20.07;20.78
