sep=;
Device ID;LBR-0028391;;
Series No;0003
Shot No;0008

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2758.08;0.00;-
0.006021;2752.51;5.52;28.91
0.007021;2747.79;6.44;30.56
0.008021;2745.17;7.35;32.85
0.009021;2745.49;8.27;31.42
0.010021;2745.40;9.18;26.10
0.011021;2744.61;10.10;23.25
0.012021;2742.24;11.01;23.40
0.013021;2740.89;11.93;24.27
0.014021;2740.89;12.84;21.75
0.015021;2738.82;13.75;22.21
0.016021;2737.65;14.67;21.15
0.017021;2736.27;15.58;21.26
0.018021;2735.13;16.49;18.89
0.019021;2731.46;17.40;19.45
0.020021;2731.91;18.31;18.69
0.021021;2729.25;19.22;18.73
0.022021;2728.16;20.13;19.25
