sep=;
Device ID;LBR-0028391;;
Series No;0003
Shot No;0019

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2742.11;0.00;-
0.007021;2733.15;6.40;31.03
0.008021;2730.47;7.31;36.03
0.009021;2729.17;8.22;35.55
0.010021;2728.56;9.13;31.68
0.011021;2730.22;10.04;27.20
0.012021;2726.99;10.95;26.24
0.013021;2725.78;11.86;25.45
0.014021;2724.76;12.77;26.01
0.015021;2722.60;13.67;24.29
0.016021;2722.03;14.58;22.83
0.017021;2719.89;15.49;22.48
0.018021;2719.04;16.39;22.39
0.019021;2717.34;17.30;20.52
0.020021;2716.51;18.21;20.92
0.021021;2716.39;19.11;20.28
0.022021;2712.62;20.02;20.58
0.023021;2713.13;20.92;18.36
