sep=;
Device ID;LBR-0028391;;
Series No;0003
Shot No;0017

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2752.93;0.00;-
0.006021;2746.40;5.51;26.59
0.007021;2742.19;6.42;30.27
0.008021;2739.09;7.34;34.45
0.009021;2738.49;8.25;32.88
0.010021;2739.03;9.16;27.38
0.011021;2737.97;10.08;24.82
0.012021;2735.37;10.99;24.68
0.013021;2734.24;11.90;23.40
0.014021;2732.54;12.81;22.89
0.015021;2731.68;13.72;21.91
0.016021;2731.96;14.63;20.83
0.017021;2729.08;15.54;19.41
0.018021;2726.87;16.45;20.43
0.019021;2728.30;17.36;19.56
0.020021;2723.73;18.27;17.46
0.021021;2722.76;19.18;18.75
0.022021;2722.71;20.09;17.17
