sep=;
Device ID;LBR-0028391;;
Series No;0003
Shot No;0018

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2764.11;0.00;-
0.007021;2752.90;6.46;31.85
0.008021;2752.30;7.37;30.85
0.009021;2752.66;8.29;26.83
0.010021;2752.56;9.21;23.09
0.011021;2750.09;10.12;23.75
0.012021;2747.54;11.04;23.56
0.013021;2746.65;11.96;22.73
0.014021;2744.66;12.87;21.34
0.015021;2744.19;13.79;19.35
0.016021;2743.87;14.70;18.98
0.017021;2743.87;15.62;18.61
0.018021;2738.46;16.53;18.68
0.019021;2739.03;17.44;17.48
0.020021;2737.21;18.36;19.11
0.021021;2737.28;19.27;16.79
0.022021;2734.96;20.18;16.50
