sep=;
Device ID;LBR-0028391;;
Series No;0003
Shot No;0001

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2755.18;0.00;-
0.007021;2746.38;6.43;31.43
0.008021;2743.51;7.35;33.13
0.009021;2742.07;8.26;34.74
0.010021;2742.35;9.18;30.78
0.011021;2742.33;10.09;25.93
0.012021;2739.68;11.01;26.74
0.013021;2738.52;11.92;27.09
0.014021;2736.78;12.83;26.95
0.015021;2735.88;13.74;25.77
0.016021;2734.17;14.65;23.13
0.017021;2733.33;15.57;21.40
0.018021;2731.71;16.48;21.08
0.019021;2730.09;17.39;21.71
0.020021;2729.35;18.30;21.27
0.021021;2728.79;19.21;20.04
0.022021;2726.24;20.12;19.56
