sep=;
Device ID;LBR-0028391;;
Series No;0003
Shot No;0011

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2774.55;0.00;-
0.007021;2765.37;6.48;29.15
0.008021;2761.02;7.40;34.24
0.009021;2760.80;8.32;33.42
0.010021;2759.96;9.24;29.71
0.011021;2761.34;10.16;25.41
0.012021;2758.20;11.08;26.67
0.013021;2757.27;12.00;25.13
0.014021;2755.15;12.92;25.01
0.015021;2754.48;13.83;23.93
0.016021;2753.65;14.75;23.53
0.017021;2751.75;15.67;21.66
0.018021;2750.02;16.59;19.92
0.019021;2748.48;17.50;21.76
0.020021;2747.10;18.42;20.69
0.021021;2744.89;19.34;19.98
0.022021;2743.30;20.25;20.42
