sep=;
Device ID;LBR-0028391;;
Series No;0003
Shot No;0022

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2755.80;0.00;-
0.007021;2746.30;6.44;28.59
0.008021;2744.02;7.35;32.59
0.009021;2742.87;8.27;32.44
0.010021;2743.05;9.18;29.50
0.011021;2743.36;10.09;24.98
0.012021;2740.37;11.01;25.18
0.013021;2739.74;11.92;25.24
0.014021;2738.16;12.83;24.49
0.015021;2737.13;13.75;24.05
0.016021;2735.68;14.66;21.87
0.017021;2734.43;15.57;19.72
0.018021;2731.90;16.48;20.73
0.019021;2733.09;17.39;19.81
0.020021;2729.99;18.30;21.19
0.021021;2727.82;19.21;21.06
0.022021;2727.39;20.12;19.01
