sep=;
Device ID;LBR-0028391;;
Series No;0003
Shot No;0010

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2754.45;0.00;-
0.007021;2745.54;6.43;31.36
0.008021;2741.82;7.34;34.38
0.009021;2740.94;8.25;34.67
0.010021;2740.73;9.17;30.91
0.011021;2741.31;10.08;26.28
0.012021;2738.80;11.00;26.38
0.013021;2737.49;11.91;26.34
0.014021;2735.89;12.82;25.35
0.015021;2735.58;13.73;24.83
0.016021;2733.18;14.64;22.42
0.017021;2731.43;15.55;21.27
0.018021;2732.36;16.46;20.82
0.019021;2729.85;17.38;19.21
0.020021;2728.63;18.28;20.41
0.021021;2726.29;19.19;18.79
0.022021;2725.99;20.10;19.52
