sep=;
Device ID;LBR-0028391;;
Series No;0003
Shot No;0005

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2762.19;0.00;-
0.007021;2753.39;6.45;31.37
0.008021;2749.44;7.37;35.94
0.009021;2748.52;8.28;35.77
0.010021;2748.44;9.20;32.57
0.011021;2749.06;10.12;27.58
0.012021;2746.15;11.03;27.37
0.013021;2745.04;11.95;27.51
0.014021;2743.82;12.86;25.74
0.015021;2742.21;13.78;25.43
0.016021;2740.89;14.69;24.27
0.017021;2739.98;15.60;23.58
0.018021;2737.17;16.52;23.47
0.019021;2736.96;17.43;22.17
0.020021;2735.60;18.34;22.62
0.021021;2732.77;19.25;19.96
0.022021;2732.28;20.16;21.22
