sep=;
Device ID;LBR-0028391;;
Series No;0003
Shot No;0004

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2751.40;0.00;-
0.007021;2742.86;6.42;30.63
0.008021;2739.38;7.34;35.28
0.009021;2738.25;8.25;36.02
0.010021;2737.58;9.16;32.21
0.011021;2738.52;10.08;27.62
0.012021;2736.27;10.99;27.51
0.013021;2734.47;11.90;27.15
0.014021;2733.54;12.81;26.02
0.015021;2731.11;13.72;24.73
0.016021;2731.80;14.63;23.42
0.017021;2729.77;15.54;24.29
0.018021;2728.60;16.45;23.53
0.019021;2728.21;17.36;22.66
0.020021;2725.16;18.27;22.17
0.021021;2725.64;19.18;21.13
0.022021;2722.08;20.09;20.96
