sep=;
Device ID;LBR-0028391;;
Series No;0003
Shot No;0013

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2763.96;0.00;-
0.007021;2755.02;6.45;29.94
0.008021;2751.45;7.37;34.25
0.009021;2750.30;8.29;33.31
0.010021;2751.08;9.20;28.87
0.011021;2750.76;10.12;25.58
0.012021;2748.54;11.04;25.98
0.013021;2746.35;11.95;23.97
0.014021;2745.23;12.87;24.19
0.015021;2744.13;13.78;21.58
0.016021;2741.85;14.70;21.71
0.017021;2742.61;15.61;20.81
0.018021;2739.16;16.52;20.43
0.019021;2739.11;17.44;19.49
0.020021;2735.74;18.35;19.81
0.021021;2736.60;19.26;20.72
0.022021;2734.46;20.17;20.31
