sep=;
Device ID;LBR-0028391;;
Series No;0003
Shot No;0009

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2765.01;0.00;-
0.007021;2755.92;6.45;31.17
0.008021;2752.52;7.37;34.90
0.009021;2751.07;8.29;35.35
0.010021;2751.03;9.20;30.43
0.011021;2751.97;10.12;26.80
0.012021;2749.19;11.04;26.84
0.013021;2747.02;11.95;26.79
0.014021;2745.94;12.87;25.61
0.015021;2745.34;13.78;24.38
0.016021;2743.45;14.70;22.55
0.017021;2742.75;15.61;22.10
0.018021;2740.07;16.53;21.47
0.019021;2739.36;17.44;22.49
0.020021;2738.23;18.35;21.69
0.021021;2735.72;19.27;20.55
0.022021;2734.35;20.18;20.44
