sep=;
Device ID;LBR-0028391;;
Series No;0003
Shot No;0020

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2761.49;0.00;-
0.007021;2752.20;6.44;27.99
0.008021;2748.20;7.36;33.36
0.009021;2747.37;8.28;32.60
0.010021;2747.27;9.19;28.67
0.011021;2747.28;10.11;24.81
0.012021;2745.21;11.02;23.72
0.013021;2744.61;11.94;23.86
0.014021;2743.14;12.85;23.05
0.015021;2740.24;13.77;21.55
0.016021;2738.88;14.68;20.97
0.017021;2739.33;15.59;19.28
0.018021;2738.57;16.51;18.57
0.019021;2735.71;17.42;17.82
0.020021;2733.35;18.33;18.30
0.021021;2730.48;19.24;17.41
0.022021;2731.92;20.15;16.56
