sep=;
Device ID;LBR-0028391;;
Series No;0003
Shot No;0014

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2748.77;0.00;-
0.007021;2740.50;6.42;29.03
0.008021;2736.77;7.33;33.75
0.009021;2735.50;8.24;32.52
0.010021;2735.74;9.15;28.23
0.011021;2735.09;10.06;23.73
0.012021;2733.51;10.98;23.74
0.013021;2732.03;11.89;23.67
0.014021;2730.94;12.80;24.25
0.015021;2729.57;13.71;22.28
0.016021;2729.43;14.62;21.27
0.017021;2726.92;15.53;20.18
0.018021;2725.57;16.43;18.96
0.019021;2725.89;17.34;19.06
0.020021;2723.23;18.25;17.75
0.021021;2720.80;19.16;17.66
0.022021;2719.88;20.07;18.04
