15, 3, 2455, ft/s   
15, 4, 2450, ft/s   
15, 5, 2469, ft/s   
----,----,----,---- 
Series,16, Shots:, 5
Min,2618, Max,2635  
Avg,2626 ,S-D, 6.3  
ES ,  17

Series,Shot,Speed   
16, 1, 2625, ft/s   
16, 2, 2618, ft/s   
16, 3, 2635, ft/s   
16, 4, 2625, ft/s   
16, 5, 2630, ft/s   
----,----,----,---- 
Series,17, Shots:, 5
Min,2664, Max,2684  
Avg,2672 ,S-D, 7.4  
ES ,  20

Series,Shot,Speed   
17, 1, 2674, ft/s   
17, 2, 2664, ft/s   
17, 3, 2672, ft/s   
17, 4, 2684, ft/s   
17, 5, 2669, ft/s   
----,----,----,---- 
Series,18, Shots:, 5
Min,2686, Max,2700  
Avg,2692 ,S-D, 5.0  
ES ,  14

Series,Shot,Speed   
18, 1, 2700, ft/s   
18, 2, 2693, ft/s   
18, 3, 2686, ft/s   
18, 4, 2693, ft/s   
18, 5, 2690, ft/s   
----,----,----,---- 
Series,19, Shots:, 5
Min,2705, Max,2735  
Avg,2721 ,S-D,11.3  
ES ,  30

Series,Shot,Speed   
19, 1, 2735, ft/s   
19, 2, 2728, ft/s   
19, 3, 2718, ft/s   
19, 4, 2705, ft/s   
19, 5, 2723, ft/s   
----,----,----,---- 
Series,20, Shots:,30
Min,2694, Max,2726  
Avg,2715 ,S-D, 7.2  
ES ,  32

Series,Shot,Speed   
20, 1, 2720, ft/s   
20, 2, 2721, ft/s   
20, 3, 2715, ft/s   
20, 4, 2718, ft/s   
20, 5, 2726, ft/s   
20, 6, 2715, ft/s   
20, 7, 2694, ft/s   
20, 8, 2712, ft/s   
20, 9, 2716, ft/s   
20,10, 2716, ft/s   
20,11, 2717, ft/s   
20,12, 2714, ft/s   
20,13, 2708, ft/s   
20,14, 2722, ft/s   
20,15, 2713, ft/s   
20,16, 2726, ft/s   
20,17, 2721, ft/s   
20,18, 2718, ft/s   
20,19, 2709, ft/s   
20,20, 2713, ft/s   
20,21, 2711, ft/s   
20,22, 2707, ft/s   
20,23, 2709, ft/s   
20,24, 2700, ft/s   
20,25, 2712, ft/s   
20,26, 2714, ft/s   
20,27, 2724, ft/s   
20,28, 2724, ft/s   
20,29, 2715, ft/s   
20,30, 2724, ft/s   
----,----,----,---- 
Series,21, Shots:, 5
Min,2570, Max,2591  
Avg,2581 ,S-D, 8.0  
ES ,  21

Series,Shot,Speed   
21, 1, 2591, ft/s   
21, 2, 2570, ft/s   
21, 3, 2585, ft/s   
21, 4, 2583, ft/s   
21, 5, 2577, ft/s   
----,----,----,---- 
Series,22, Shots:, 5
Min,2628, Max,2669  
Avg,2647 ,S-D,15.8  
ES ,  41

Series,Shot,Speed   
22, 1, 2646, ft/s   
22, 2, 2657, ft/s   
22, 3, 2639, ft/s   
22, 4, 2669, ft/s   
22, 5, 2628, ft/s   
----,----,----,---- 
Series,23, Shots:, 5
Min,2690, Max,2723  
Avg,2708 ,S-D,15.7  
ES ,  33

Series,Shot,Speed   
23, 1, 2723, ft/s   
23, 2, 2719, ft/s   
23, 3, 2692, ft/s   
23, 4, 2690, ft/s   
