sep=;
Device ID;LBR-0028391;;
Series No;0004
Shot No;0022

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2449.26;0.00;-
0.007021;2441.17;5.71;21.69
0.008021;2435.35;6.52;28.40
0.009021;2433.45;7.33;33.19
0.010021;2432.52;8.15;32.61
0.011021;2431.51;8.96;32.65
0.012021;2432.79;9.77;26.11
0.013021;2429.06;10.58;23.71
0.014021;2429.26;11.39;27.17
0.015021;2425.75;12.20;23.47
0.016021;2426.23;13.00;24.89
0.017021;2424.26;13.81;23.00
0.018021;2421.56;14.62;21.54
0.019021;2421.83;15.43;22.49
0.020021;2417.11;16.23;18.79
0.021021;2418.09;17.04;20.33
0.022021;2418.39;17.85;20.43
0.023021;2416.16;18.65;18.17
0.024021;2414.81;19.46;21.11
0.025021;2410.89;20.26;19.73
