sep=;
Device ID;LBR-0028391;;
Series No;0004
Shot No;0019

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2610.78;0.00;-
0.007021;2596.98;6.09;30.86
0.008021;2595.05;6.96;33.23
0.009021;2595.23;7.82;33.17
0.010021;2594.09;8.69;27.91
0.011021;2593.59;9.55;27.99
0.012021;2590.99;10.41;27.02
0.013021;2588.17;11.28;25.74
0.014021;2587.89;12.14;27.00
0.015021;2586.43;13.00;22.61
0.016021;2585.23;13.86;22.97
0.017021;2582.79;14.73;22.45
0.018021;2580.30;15.59;20.98
0.019021;2579.83;16.45;23.75
0.020021;2577.95;17.31;19.78
0.021021;2575.53;18.16;20.57
0.022021;2574.41;19.02;21.54
0.023021;2571.86;19.88;19.77
0.024021;2569.61;20.74;22.47
