sep=;
Device ID;LBR-0028391;;
Series No;0004
Shot No;0011

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2567.74;0.00;-
0.007021;2556.63;5.99;28.98
0.008021;2554.13;6.84;32.64
0.009021;2552.24;7.69;36.26
0.010021;2550.55;8.55;34.41
0.011021;2550.70;9.40;31.47
0.012021;2550.23;10.25;28.25
0.013021;2547.77;11.10;27.53
0.014021;2545.39;11.94;27.75
0.015021;2544.23;12.79;25.43
0.016021;2542.06;13.64;25.66
0.017021;2541.25;14.49;23.47
0.018021;2539.40;15.33;23.58
0.019021;2537.34;16.18;22.36
0.020021;2536.53;17.03;21.55
0.021021;2533.46;17.87;22.01
0.022021;2533.47;18.72;22.71
0.023021;2531.05;19.56;22.49
0.024021;2529.35;20.40;21.48
