sep=;
Device ID;LBR-0028391;;
Series No;0004
Shot No;0013

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2527.45;0.00;-
0.008021;2511.80;6.73;31.84
0.009021;2512.22;7.57;33.14
0.010021;2511.17;8.41;29.86
0.011021;2511.29;9.25;26.84
0.012021;2509.39;10.08;25.76
0.013021;2506.91;10.92;25.28
0.014021;2503.92;11.75;25.20
0.015021;2503.62;12.59;21.80
0.016021;2500.44;13.42;22.21
0.017021;2502.52;14.26;23.23
0.018021;2499.66;15.09;19.20
0.019021;2496.08;15.92;21.01
0.020021;2494.69;16.75;18.31
0.021021;2492.78;17.59;18.96
0.022021;2489.02;18.42;18.61
0.023021;2491.27;19.25;16.05
0.024021;2490.25;20.08;18.51
0.025021;2486.25;20.91;18.52
