sep=;
Device ID;LBR-0028391;;
Series No;0004
Shot No;0024

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2467.01;0.00;-
0.008021;2454.36;6.57;31.22
0.009021;2452.81;7.39;34.51
0.010021;2451.89;8.21;31.58
0.011021;2451.83;9.03;30.66
0.012021;2451.89;9.84;25.44
0.013021;2448.81;10.66;23.96
0.014021;2448.32;11.48;27.47
0.015021;2446.80;12.29;23.90
0.016021;2445.62;13.11;23.03
0.017021;2443.93;13.92;22.05
0.018021;2444.09;14.74;20.10
0.019021;2441.00;15.55;22.06
0.020021;2439.32;16.36;17.40
0.021021;2437.12;17.18;21.02
0.022021;2435.84;17.99;20.28
0.023021;2436.07;18.80;15.92
0.024021;2434.23;19.61;20.51
0.025021;2433.15;20.42;18.99
