sep=;
Device ID;LBR-0028391;;
Series No;0004
Shot No;0002

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2736.98;0.00;-
0.007021;2720.40;6.38;28.42
0.008021;2718.19;7.29;30.17
0.009021;2718.05;8.19;29.00
0.010021;2717.40;9.10;21.35
0.011021;2714.18;10.01;23.68
0.012021;2711.46;10.91;23.28
0.013021;2708.59;11.81;20.61
0.014021;2707.90;12.72;23.43
0.015021;2704.77;13.62;16.92
0.016021;2703.04;14.52;17.07
0.017021;2701.78;15.42;19.54
0.018021;2698.53;16.32;16.42
0.019021;2696.05;17.22;18.92
0.020021;2696.20;18.12;16.09
0.021021;2692.51;19.02;17.09
0.022021;2690.69;19.91;17.07
0.023021;2687.36;20.81;14.80
