sep=;
Device ID;LBR-0028391;;
Series No;0004
Shot No;0010

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2759.53;0.00;-
0.007021;2742.26;6.43;28.06
0.008021;2739.89;7.35;29.97
0.009021;2740.28;8.26;26.69
0.010021;2739.52;9.17;21.85
0.011021;2735.81;10.09;23.85
0.012021;2733.18;11.00;22.65
0.013021;2731.69;11.91;21.30
0.014021;2729.56;12.82;22.68
0.015021;2728.09;13.73;19.52
0.016021;2725.68;14.64;16.58
0.017021;2723.46;15.55;18.46
0.018021;2721.13;16.45;18.99
0.019021;2719.56;17.36;19.83
0.020021;2716.14;18.27;16.23
0.021021;2713.67;19.17;14.94
0.022021;2712.71;20.08;17.67
