sep=;
Device ID;LBR-0028391;;
Series No;0004
Shot No;0009

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2701.92;0.00;-
0.007021;2686.29;6.30;26.07
0.008021;2685.16;7.20;27.88
0.009021;2683.22;8.09;25.82
0.010021;2683.61;8.99;20.71
0.011021;2681.04;9.88;23.06
0.012021;2678.57;10.77;21.24
0.013021;2675.21;11.67;21.99
0.014021;2673.95;12.56;22.69
0.015021;2672.40;13.45;17.80
0.016021;2668.82;14.34;17.94
0.017021;2669.14;15.23;16.46
0.018021;2664.52;16.12;16.29
0.019021;2664.09;17.01;16.97
0.020021;2660.64;17.89;16.91
0.021021;2660.05;18.78;17.15
0.022021;2658.86;19.67;15.24
0.023021;2654.38;20.55;15.78
