sep=;
Device ID;LBR-0028391;;
Series No;0004
Shot No;0014

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2563.09;0.00;-
0.007021;2549.79;5.98;28.10
0.008021;2548.00;6.83;33.46
0.009021;2547.52;7.68;33.33
0.010021;2545.45;8.52;30.92
0.011021;2546.52;9.37;29.12
0.012021;2545.00;10.22;25.30
0.013021;2542.65;11.07;26.15
0.014021;2540.44;11.92;28.11
0.015021;2539.22;12.76;24.25
0.016021;2537.15;13.61;23.80
0.017021;2536.84;14.45;21.74
0.018021;2534.73;15.30;20.30
0.019021;2532.25;16.14;23.38
0.020021;2530.52;16.99;20.39
0.021021;2528.91;17.83;20.65
0.022021;2527.57;18.67;20.94
0.023021;2523.64;19.52;17.92
0.024021;2524.01;20.36;18.59
