sep=;
Device ID;LBR-0028391;;
Series No;0004
Shot No;0005

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2717.69;0.00;-
0.007021;2701.19;6.34;28.47
0.008021;2698.39;7.24;29.51
0.009021;2697.52;8.14;27.49
0.010021;2699.17;9.04;21.17
0.011021;2693.93;9.93;21.09
0.012021;2690.34;10.83;23.09
0.013021;2689.46;11.73;21.17
0.014021;2687.85;12.62;22.87
0.015021;2684.78;13.52;18.08
0.016021;2684.76;14.41;15.48
0.017021;2682.04;15.31;18.24
0.018021;2677.96;16.20;20.44
0.019021;2676.14;17.09;16.66
0.020021;2678.76;17.99;16.22
0.021021;2668.16;18.88;14.65
0.022021;2671.17;19.77;14.54
0.023021;2663.66;20.66;13.27
