sep=;
Device ID;LBR-0028391;;
Series No;0004
Shot No;0017

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2576.55;0.00;-
0.007021;2564.16;6.01;29.31
0.008021;2561.60;6.87;33.96
0.009021;2561.48;7.72;33.53
0.010021;2559.24;8.57;30.79
0.011021;2560.83;9.43;29.88
0.012021;2558.64;10.28;25.63
0.013021;2555.57;11.13;25.39
0.014021;2554.55;11.98;27.02
0.015021;2552.33;12.83;23.42
0.016021;2550.41;13.69;24.03
0.017021;2549.77;14.54;22.12
0.018021;2548.14;15.38;22.39
0.019021;2546.48;16.23;22.77
0.020021;2544.28;17.08;19.66
0.021021;2542.06;17.93;19.95
0.022021;2540.70;18.78;22.52
0.023021;2540.14;19.62;17.63
0.024021;2537.37;20.47;19.39
