sep=;
Device ID;LBR-0028391;;
Series No;0004
Shot No;0004

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2715.94;0.00;-
0.006021;2705.63;5.43;21.51
0.007021;2699.43;6.33;30.27
0.008021;2696.91;7.23;32.38
0.009021;2696.23;8.13;31.24
0.010021;2696.22;9.03;26.35
0.011021;2693.13;9.93;25.19
0.012021;2691.11;10.83;25.14
0.013021;2687.71;11.72;25.50
0.014021;2686.15;12.62;24.11
0.015021;2684.34;13.51;20.87
0.016021;2680.56;14.41;20.14
0.017021;2681.32;15.30;20.79
0.018021;2677.96;16.19;20.44
0.019021;2675.39;17.09;18.55
0.020021;2671.09;17.98;18.68
0.021021;2670.20;18.87;19.70
0.022021;2669.19;19.76;18.28
0.023021;2668.01;20.65;18.44
