sep=;
Device ID;LBR-0028391;;
Series No;0004
Shot No;0028

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2453.92;0.00;-
0.008021;2441.47;6.54;32.30
0.009021;2439.72;7.35;34.44
0.010021;2439.26;8.17;31.17
0.011021;2439.59;8.98;30.17
0.012021;2438.97;9.79;25.50
0.013021;2436.17;10.61;24.43
0.014021;2435.69;11.42;27.17
0.015021;2434.13;12.23;22.77
0.016021;2432.96;13.04;23.42
0.017021;2431.42;13.85;23.41
0.018021;2428.59;14.66;22.32
0.019021;2427.19;15.47;23.08
0.020021;2428.06;16.28;20.12
0.021021;2423.75;17.09;19.70
0.022021;2424.16;17.90;20.60
0.023021;2420.74;18.70;19.75
0.024021;2421.03;19.51;21.49
0.025021;2418.67;20.32;18.91
