sep=;
Device ID;LBR-0028391;;
Series No;0004
Shot No;0016

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2508.88;0.00;-
0.008021;2493.88;6.68;33.11
0.009021;2492.84;7.51;34.85
0.010021;2491.92;8.34;30.21
0.011021;2492.33;9.17;29.91
0.012021;2490.68;10.01;26.69
0.013021;2488.20;10.84;26.42
0.014021;2487.00;11.66;28.73
0.015021;2485.61;12.49;23.40
0.016021;2483.60;13.32;24.14
0.017021;2481.62;14.15;23.22
0.018021;2480.70;14.98;21.26
0.019021;2480.39;15.80;23.40
0.020021;2476.26;16.63;20.80
0.021021;2476.04;17.45;19.41
0.022021;2474.71;18.28;21.55
0.023021;2471.42;19.10;19.66
0.024021;2469.41;19.93;21.11
0.025021;2468.08;20.75;19.15
