sep=;
Device ID;LBR-0028391;;
Series No;0004
Shot No;0020

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2499.68;0.00;-
0.008021;2485.09;6.66;32.95
0.009021;2484.20;7.49;35.10
0.010021;2483.06;8.32;31.43
0.011021;2484.03;9.14;29.65
0.012021;2481.39;9.97;26.31
0.013021;2479.25;10.80;27.03
0.014021;2477.48;11.62;29.46
0.015021;2475.86;12.45;23.80
0.016021;2474.21;13.27;24.26
0.017021;2474.31;14.10;23.01
0.018021;2472.16;14.92;22.39
0.019021;2470.87;15.75;23.59
0.020021;2468.12;16.57;20.73
0.021021;2468.98;17.39;20.36
0.022021;2466.19;18.22;21.83
0.023021;2462.57;19.04;19.40
0.024021;2460.06;19.86;22.31
0.025021;2460.58;20.68;20.04
