sep=;
Device ID;LBR-0028391;;
Series No;0004
Shot No;0029

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2483.04;0.00;-
0.008021;2468.21;6.62;32.30
0.009021;2467.87;7.44;33.02
0.010021;2466.38;8.26;31.02
0.011021;2466.64;9.08;29.07
0.012021;2466.00;9.90;24.39
0.013021;2463.32;10.73;24.87
0.014021;2460.94;11.55;27.75
0.015021;2460.12;12.37;24.12
0.016021;2457.95;13.19;25.29
0.017021;2457.00;14.01;23.61
0.018021;2456.36;14.83;20.16
0.019021;2455.76;15.64;20.31
0.020021;2450.99;16.46;20.72
0.021021;2450.09;17.28;21.30
0.022021;2449.00;18.09;21.60
0.023021;2449.69;18.91;20.24
0.024021;2446.43;19.73;19.51
0.025021;2445.21;20.54;18.65
