sep=;
Device ID;LBR-0028391;;
Series No;0004
Shot No;0012

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2435.16;0.00;-
0.008021;2421.90;6.49;31.40
0.009021;2421.55;7.30;33.05
0.010021;2420.07;8.10;31.20
0.011021;2421.51;8.91;27.82
0.012021;2419.80;9.72;26.31
0.013021;2417.25;10.52;23.66
0.014021;2415.67;11.33;26.37
0.015021;2415.81;12.13;23.10
0.016021;2413.38;12.94;22.30
0.017021;2411.63;13.74;23.27
0.018021;2411.26;14.55;22.14
0.019021;2408.72;15.35;21.57
0.020021;2406.78;16.15;19.49
0.021021;2405.43;16.96;17.17
0.022021;2403.81;17.76;20.98
0.023021;2401.50;18.56;18.47
0.024021;2402.05;19.36;18.95
0.025021;2399.44;20.16;17.27
