ShotMarker Archived Data (generated Jan 26 2019)
Exported 2 strings from Jan 26 of 53 total in archive

Jan 26 2019,real 50,Spike,300y,4.23 inch

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,2:37:23 pm,47,,10,50,27,1.97,1.04,0.63,0.33,0.19,0.1,711.7,2335,0.5,0.9,3.9,
,2:38:27 pm,48,,10,59,49,2.31,1.94,0.73,0.62,0.22,0.18,707.3,2321,0.5,1,5.8,

,,,,avg:,63,23,2.48,0.91,0.79,0.29,0.23,0.09,710.3,2330.4,0.4,0.9,5.6,
,,,,SD:,20.2,17.1,0.79,0.67,0.25,0.21,0.07,0.06,3.36,11,0.07,0.07,1.1,

Jan 26 2019,20190126 sighters,Spike,300y,3.47 inch

,time,id,tags,score,x (mm),y (mm),x (inch),y (inch),x (moa),y (moa),x (mil),y (mil),v (m/s),v (fps),yaw (deg), pitch (deg),quality
,1:54:21 pm,S1,sighter,9,109,19,4.31,0.74,1.37,0.24,0.41,0.07,702.5,2305,0.4,0.9,4.9,
,1:57:15 pm,S2,sighter,8,131,-40,5.15,-1.56,1.64,-0.5,0.49,-0.15,706.4,2318,0.5,0.8,5,
,1:58:30 pm,1,,8,115,43,4.51,1.7,1.43,0.54,0.43,0.16,702.7,2305,0.3,0.9,5.1,
,2:00:15 pm,2,,9,84,29,3.32,1.15,1.06,0.36,0.31,0.11,708.7,2325,0.5,0.9,6.1,
,2:01:36 pm,3,,7,173,26,6.79,1.04,2.16,0.33,0.64,0.1,702.9,2306,0.7,0.9,5.6,

,,,,avg:,124,33,4.87,1.29,1.55,0.41,0.46,0.12,704.8,2312.2,0.5,0.9,5.6,
,,,,SD:,36.6,7.3,1.44,0.29,0.46,0.09,0.14,0.03,2.78,9.1,0.13,0.01,0.4,
