case_number,0x_weight,0x_length,0x_headspace,0x_neck_thick,0x_neck_dia,0x_capacity,0x_resized_length,0x_resized_headspace,1x_weight,1x_length,1x_headspace,1x_neck_dia,1x_capacity,1x_resized_length,1x_resized_headspace,2x_weight,2x_length,2x_headspace,2x_neck_dia,2x_capacity,2x_resized_length,2x_resized_headspace,3x_weight,3x_length,3x_headspace,3x_neck_dia,3x_capacity,3x_resized_length,3x_resized_headspace,3x_primer_depth,trim_weight,trim_length,trim_case_depth,trim_primer_depth
21,168.9000,1.9100,1.5535,0.1400,0.2900,,1.9110,1.5530,168.8770,1.9095,1.5600,0.2920,49.1200,1.9110,1.5530,,1.9090,1.5610,0.2920,,1.9120,1.5550,168.8000,1.9140,1.5595,0.2925,49.3110,1.9150,1.5575,0.1160,168.3212,1.9100,1.7300,0.1170
22,169.7000,1.9100,1.5535,0.1400,0.2900,,1.9105,1.5525,169.6640,1.9085,1.5600,0.2920,49.0900,1.9105,1.5525,,1.9100,1.5610,0.2920,,1.9115,1.5550,169.5710,1.9120,1.5600,0.2920,49.1800,1.9130,1.5575,0.1160,168.3289,1.9100,1.7305,0.1170
23,169.6000,1.9105,1.5530,0.1400,0.2900,,1.9115,1.5530,169.5560,1.9100,1.5605,0.2920,49.2700,1.9115,1.5530,,1.9105,1.5610,0.2920,,1.9130,1.5555,169.4790,1.9120,1.5605,0.2920,49.1430,1.9130,1.5570,0.1150,169.1700,1.9105,1.7275,0.1175
24,168.6800,1.9110,1.5530,0.1400,0.2900,,1.9105,1.5525,168.6450,1.9095,1.5595,0.2920,49.3300,1.9105,1.5525,,1.9100,1.5610,0.2920,,1.9125,1.5555,168.5530,1.9120,1.5600,0.2920,49.2920,1.9130,1.5560,0.1170,168.0434,1.9090,1.7310,0.1170
25,169.1600,1.9110,1.5535,0.1400,0.2900,,1.9135,1.5535,169.1390,1.9105,1.5600,0.2920,49.2900,1.9135,1.5535,,1.9110,1.5615,0.2915,,1.9115,1.5560,169.0310,1.9125,1.5600,0.2920,49.1620,1.9135,1.5565,0.1160,169.2934,1.9100,1.7275,0.1170
26,168.8400,1.9120,1.5530,0.1400,0.2900,,1.9090,1.5535,168.8300,1.9115,1.5590,0.2920,49.2600,1.9090,1.5535,,1.9155,1.5590,0.2920,,1.9170,1.5550,168.7380,1.9175,1.5595,0.2920,49.3110,1.9190,1.5560,0.1145,169.0002,1.9100,1.7285,0.1170
27,168.7800,1.9110,1.5535,0.1400,0.2900,,1.9110,1.5535,168.7380,1.9095,1.5590,0.2920,49.2400,1.9110,1.5535,,1.9110,1.5595,0.2920,,1.9130,1.5545,168.6610,1.9145,1.5595,0.2920,49.2740,1.9160,1.5560,0.1140,168.1514,1.9095,1.7315,0.1170
28,169.3800,1.9105,1.5530,0.1400,0.2900,,1.9100,1.5535,169.3400,1.9095,1.5590,0.2920,49.1200,1.9100,1.5535,,1.9120,1.5600,0.2920,,1.9125,1.5550,169.2470,1.9145,1.5595,0.2920,49.2180,1.9155,1.5555,0.1145,168.5913,1.9100,1.7295,0.1175
29,169.6000,1.9105,1.5540,0.1400,0.2900,,1.9105,1.5535,169.5560,1.9095,1.5590,0.2920,49.0900,1.9105,1.5535,,1.9120,1.5595,0.2925,,1.9130,1.5550,169.4630,1.9145,1.5595,0.2920,49.1620,1.9165,1.5550,0.1160,169.2703,1.9100,1.7285,0.1170
30,169.1200,1.9110,1.5530,0.1400,0.2900,,1.9090,1.5535,169.1080,1.9095,1.5590,0.2920,49.0700,1.9090,1.5535,,1.9120,1.5595,0.2915,,1.9130,1.5545,169.0160,1.9150,1.5595,0.2920,49.1990,1.9170,1.5550,0.1160,169.1545,1.9100,1.7275,0.1170
31,168.9400,1.9095,1.5535,0.1400,0.2900,,1.9125,1.5540,168.9230,1.9090,1.5590,0.2920,49.1200,1.9125,1.5540,,1.9120,1.5590,0.2920,,1.9135,1.5550,168.8300,1.9130,1.5600,0.2920,49.1800,1.9145,1.5550,0.1160,169.2163,1.9100,1.6765,0.1175
32,168.7200,1.9115,1.5525,0.1400,0.2900,,1.9135,1.5540,168.7070,1.9110,1.5590,0.2920,49.2200,1.9135,1.5540,,1.9130,1.5595,0.2920,,1.9145,1.5550,168.6140,1.9150,1.5600,0.2925,49.1990,1.9170,1.5555,0.1160,169.0002,1.9105,1.7290,0.1175
33,168.5600,1.9120,1.5530,0.1400,0.2900,,1.9105,1.5540,168.5370,1.9110,1.5595,0.2920,49.3500,1.9105,1.5540,,1.9145,1.5595,0.2920,,1.9160,1.5565,168.4520,1.9165,1.5600,0.2920,49.2920,1.9180,1.5555,0.1145,169.3706,1.9110,1.6765,0.1170
34,169.3800,1.9110,1.5540,0.1400,0.2900,,1.9110,1.5540,169.3550,1.9095,1.5590,0.2920,49.0700,1.9110,1.5540,,1.9120,1.5595,0.2915,,1.9120,1.5570,169.2630,1.9140,1.5600,0.2920,49.1990,1.9140,1.5550,0.1150,169.1391,1.9105,1.7285,0.1170
35,169.3600,1.9100,1.5540,0.1400,0.2900,,1.9120,1.5540,169.3400,1.9100,1.5585,0.2920,49.0700,1.9120,1.5540,,1.9110,1.5605,0.2920,,1.9125,1.5560,169.2320,1.9135,1.5605,0.2920,49.1620,1.9145,1.5555,0.1145,169.4323,1.9100,1.7275,0.1170
36,169.4800,1.9100,1.5525,0.1400,0.2900,,1.9110,1.5535,169.4630,1.9050,1.5585,0.2920,49.0700,1.9110,1.5535,,1.9115,1.5605,0.2920,,1.9135,1.5575,169.3710,1.9130,1.5595,0.2920,49.1800,1.9140,1.5560,0.1160,168.4138,1.9100,1.7295,0.1170
37,168.9400,1.9100,1.5515,0.1400,0.2900,,1.9100,1.5530,168.9230,1.9095,1.5590,0.2920,49.1600,1.9100,1.5530,,1.9105,1.5605,0.2920,,1.9125,1.5560,168.8150,1.9120,1.5600,0.2920,49.1430,1.9135,1.5550,0.1150,168.3675,1.9095,1.7305,0.1170
38,168.9000,1.9105,1.5535,0.1400,0.2900,,1.9110,1.5540,168.8770,1.9090,1.5590,0.2920,49.1800,1.9110,1.5540,,1.9095,1.5610,0.2920,,1.9110,1.5580,168.7840,1.9105,1.5605,0.2920,49.1240,1.9120,1.5555,0.1135,168.6144,1.9100,1.7295,0.1170
39,169.7000,1.9100,1.5530,0.1400,0.2900,,1.9115,1.5540,169.6790,1.9100,1.5590,0.2920,49.2200,1.9115,1.5540,,1.9100,1.5610,0.2920,,1.9115,1.5575,169.5870,1.9110,1.5605,0.2920,49.1240,1.9125,1.5550,0.1160,168.9539,1.9105,1.7290,0.1170
40,169.4200,1.9105,1.5540,0.1400,0.2900,,1.9105,1.5535,169.4320,1.9105,1.5590,0.2920,49.2600,1.9105,1.5535,,1.9110,1.5610,0.2915,,1.9120,1.5565,169.3170,1.9120,1.5605,0.2920,49.1620,1.9130,1.5555,0.1150,169.6792,1.9100,1.7265,0.1170
41,169.8800,1.9100,1.5535,0.1400,0.2900,,1.9120,1.5535,169.8640,1.9080,1.5590,0.2920,49.1600,1.9120,1.5535,,1.9105,1.5605,0.2920,,1.9120,1.5565,169.7720,1.9115,1.5595,0.2925,49.0030,1.9130,1.5550,0.1180,169.1082,1.9105,1.7275,0.1175
42,169.2600,1.9110,1.5535,0.1400,0.2900,,1.9120,1.5540,169.2320,1.9110,1.5595,0.2920,49.3700,1.9120,1.5540,,1.9120,1.5600,0.2915,,1.9135,1.5560,169.1550,1.9130,1.5600,0.2920,49.1800,1.9145,1.5555,0.1145,169.1623,1.9110,1.7290,0.1170
43,169.5800,1.9110,1.5530,0.1400,0.2900,,1.9115,1.5535,169.5560,1.9105,1.5590,0.2920,49.2400,1.9115,1.5535,,1.9110,1.5605,0.2920,,1.9120,1.5565,169.4630,1.9125,1.5595,0.2920,49.0960,1.9135,1.5550,0.1140,168.9231,1.9100,1.7295,0.1175
44,170.0200,1.9100,1.5535,0.1400,0.2900,,1.9100,1.5540,170.0190,1.9100,1.5590,0.2920,49.1400,1.9100,1.5540,,1.9130,1.5595,0.2920,,1.9140,1.5555,169.9260,1.9155,1.5590,0.2920,49.1620,1.9170,1.5550,0.1145,169.2471,1.9105,1.7285,0.1170
45,169.2400,1.9100,1.5525,0.1400,0.2900,,1.9110,1.5535,169.2010,1.9090,1.5590,0.2920,49.3300,1.9110,1.5535,,1.9090,1.5610,0.2920,,1.9115,1.5555,169.1160,1.9125,1.5595,0.2925,49.1430,1.9130,1.5545,0.1140,168.5835,1.9105,1.7310,0.1170
46,169.6800,1.9095,1.5540,0.1400,0.2900,,1.9100,1.5540,169.6480,1.9095,1.5595,0.2920,49.0700,1.9100,1.5540,,1.9115,1.5605,0.2920,,1.9135,1.5555,169.5710,1.9135,1.5595,0.2920,49.1430,1.9150,1.5550,0.1160,168.4292,1.9100,1.7300,0.1170
47,170.0200,1.9105,1.5530,0.1400,0.2900,,1.9110,1.5540,170.0030,1.9095,1.5595,0.2920,49.0100,1.9110,1.5540,,1.9105,1.5610,0.2920,,1.9120,1.5555,169.9260,1.9140,1.5590,0.2920,49.1240,1.9150,1.5550,0.1160,168.5990,1.9095,1.7285,0.1170
48,169.5000,1.9110,1.5505,0.1400,0.2900,,1.9125,1.5540,169.5090,1.9115,1.5595,0.2920,49.1600,1.9125,1.5540,,1.9120,1.5610,0.2920,,1.9135,1.5550,169.4010,1.9140,1.5595,0.2920,49.1430,1.9155,1.5545,0.1150,169.1854,1.9105,1.7305,0.1170
49,169.8400,1.9100,1.5540,0.1400,0.2900,,1.9100,1.5540,169.8340,1.9095,1.5590,0.2920,48.9200,1.9100,1.5540,,1.9100,1.5605,0.2920,,1.9120,1.5550,169.7180,1.9130,1.5590,0.2920,49.1060,1.9145,1.5555,0.1150,169.6021,1.9100,1.7265,0.1175
50,170.0000,1.9095,1.5540,0.1400,0.2900,,1.9100,1.5535,170.0030,1.9095,1.5590,0.2920,48.8100,1.9100,1.5535,,1.9105,1.5610,0.2920,,1.9120,1.5550,169.9030,1.9135,1.5590,0.2920,49.0870,1.9140,1.5555,0.1150,169.3289,1.9100,1.7275,0.1175
