sep=;
Device ID;LBR-0002092;;
Series No;0085
Shot No;0021

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2767.64;0.00;-
0.007021;2755.71;6.46;41.56
0.008021;2757.25;7.38;39.48
0.009021;2754.99;8.30;40.44
0.010021;2756.41;9.21;38.26
0.011021;2754.14;10.13;38.44
0.012021;2753.06;11.05;37.56
0.013021;2751.88;11.97;36.86
0.014021;2750.36;12.89;35.40
0.015021;2749.53;13.80;34.56
0.016021;2748.21;14.72;33.79
0.017021;2747.08;15.63;32.27
0.018021;2745.97;16.55;32.01
0.019021;2744.08;17.46;30.68
0.020021;2742.38;18.38;29.19
0.021021;2740.70;19.29;26.89
0.022021;2739.44;20.21;25.85
0.023021;2737.60;21.12;27.76
0.024021;2737.74;22.03;24.72
0.025021;2733.89;22.94;27.14
0.026021;2733.40;23.86;27.54
0.027021;2733.54;24.77;23.56
0.028021;2732.68;25.68;22.43
0.029021;2730.48;26.59;23.29
0.030021;2728.75;27.50;22.79
0.031021;2728.75;28.41;23.76
0.032021;2727.42;29.32;21.90
0.033021;2722.27;30.22;21.72
0.034021;2717.53;31.13;23.55
0.035021;2723.61;32.04;18.65
0.036021;2717.22;32.95;21.45
0.037021;2721.44;33.85;20.04
0.038021;2718.16;34.76;21.70
0.039021;2714.23;35.66;23.87
0.040021;2715.10;36.57;23.42
0.041021;2715.86;37.47;18.68
0.042021;2712.60;38.38;15.83
0.043021;2713.69;39.28;18.17
0.044021;2712.42;40.19;19.52
0.045021;2708.52;41.09;20.56
0.046021;2707.46;41.99;18.66
0.047021;2705.99;42.90;17.79
0.048021;2703.18;43.80;18.24
0.049021;2704.83;44.70;18.20
0.050021;2702.32;45.60;16.77
0.051021;2701.83;46.50;15.44
0.052021;2702.51;47.40;13.29
0.053021;2698.70;48.30;15.06
0.054021;2697.94;49.20;11.92
0.055021;2698.87;50.10;11.79
0.056021;2696.11;51.00;13.92
0.057021;2691.92;51.90;15.88
0.058021;2693.73;52.79;14.95
0.059021;2692.89;53.69;13.94
0.060021;2686.79;54.59;9.87
0.061021;2686.39;55.48;11.96
0.066021;2674.75;59.95;10.69
0.067021;2678.35;60.84;8.80
