sep=;
Device ID;LBR-0002092;;
Series No;0085
Shot No;0012

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2757.91;0.00;-
0.007021;2747.26;6.44;37.49
0.008021;2746.88;7.35;38.35
0.009021;2746.70;8.27;36.78
0.010021;2745.87;9.18;34.30
0.011021;2744.59;10.10;35.02
0.012021;2743.49;11.01;34.55
0.013021;2742.08;11.93;35.01
0.014021;2740.59;12.84;34.34
0.015021;2739.57;13.76;32.72
0.016021;2738.36;14.67;31.91
0.017021;2737.14;15.58;30.86
0.018021;2736.25;16.49;29.90
0.019021;2734.88;17.41;29.78
0.020021;2733.23;18.32;29.45
0.021021;2732.03;19.23;28.46
0.022021;2730.77;20.14;28.32
0.023021;2727.88;21.05;28.00
0.024021;2729.58;21.96;23.83
0.025021;2724.37;22.87;27.60
0.026021;2724.53;23.77;28.23
0.027021;2724.24;24.68;25.42
0.028021;2723.63;25.59;24.42
0.029021;2721.26;26.50;23.86
0.030021;2718.50;27.41;23.59
0.031021;2718.14;28.31;24.16
0.032021;2718.36;29.22;22.39
0.033021;2712.40;30.12;20.82
0.034021;2708.57;31.03;24.96
0.035021;2716.41;31.93;17.36
0.036021;2705.79;32.83;22.34
0.037021;2710.86;33.74;19.26
0.038021;2708.83;34.64;19.08
0.039021;2707.09;35.54;23.00
0.040021;2704.97;36.44;21.04
0.041021;2705.18;37.35;16.03
0.042021;2704.70;38.25;15.62
0.043021;2703.75;39.15;17.04
0.044021;2699.38;40.05;17.34
0.045021;2698.58;40.95;18.81
0.046021;2696.61;41.85;16.18
0.047021;2697.58;42.75;14.31
0.048021;2695.36;43.65;15.86
0.050021;2684.65;45.44;8.62
0.051021;2692.20;46.34;9.73
0.052021;2691.78;47.23;11.99
0.053021;2687.34;48.13;8.57
0.055021;2690.95;49.92;8.30
0.057021;2685.79;51.71;13.69
0.058021;2683.70;52.61;9.88
0.062021;2673.99;56.18;12.66
0.066021;2672.31;59.75;8.71
0.067021;2662.35;60.63;10.29
