sep=;
Device ID;LBR-0002092;;
Series No;0085
Shot No;0016

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2774.62;0.00;-
0.007021;2762.26;6.47;38.90
0.008021;2764.53;7.39;36.35
0.009021;2761.43;8.32;37.56
0.010021;2762.98;9.24;34.44
0.011021;2760.80;10.16;34.02
0.012021;2759.77;11.08;33.66
0.013021;2758.22;12.00;33.80
0.014021;2756.73;12.92;34.35
0.015021;2755.36;13.83;33.92
0.016021;2754.43;14.75;32.41
0.017021;2753.33;15.67;30.70
0.018021;2752.03;16.59;29.23
0.019021;2749.60;17.51;28.64
0.020021;2747.80;18.42;28.31
0.021021;2746.90;19.34;28.71
0.022021;2745.46;20.25;29.08
0.023021;2743.68;21.17;28.99
0.024021;2743.42;22.08;25.31
0.025021;2740.46;23.00;25.18
0.026021;2739.74;23.91;27.40
0.027021;2740.21;24.82;24.18
0.028021;2739.00;25.74;24.60
0.029021;2735.78;26.65;25.72
0.030021;2735.13;27.56;25.43
0.031021;2733.59;28.47;24.12
0.032021;2735.01;29.38;23.97
0.033021;2727.44;30.29;23.08
0.034021;2723.63;31.20;23.80
0.035021;2731.00;32.11;19.02
0.036021;2724.90;33.02;22.32
0.037021;2725.95;33.93;18.72
0.038021;2724.57;34.84;20.76
0.039021;2723.13;35.75;22.35
0.040021;2721.51;36.65;21.53
0.041021;2724.39;37.56;15.20
0.042021;2718.52;38.47;16.13
0.043021;2716.79;39.37;16.86
0.044021;2716.81;40.28;13.70
0.045021;2714.08;41.18;18.18
0.046021;2714.41;42.09;15.34
0.047021;2712.77;42.99;13.39
0.048021;2710.50;43.90;13.65
0.049021;2710.07;44.80;13.00
0.050021;2706.98;45.70;7.44
0.051021;2707.03;46.61;12.26
0.052021;2704.00;47.51;12.87
0.053021;2709.33;48.41;10.82
0.054021;2693.29;49.31;7.82
0.056021;2702.77;51.11;10.61
0.057021;2692.01;52.01;10.65
0.058021;2703.01;52.91;9.06
0.060021;2691.45;54.71;13.02
0.061021;2692.13;55.60;8.40
0.062021;2693.61;56.50;8.72
0.063021;2685.95;57.40;11.89
0.066021;2677.78;60.08;9.72
