sep=;
Device ID;LBR-0002092;;
Series No;0085
Shot No;0025

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2773.82;0.00;-
0.007021;2762.89;6.47;39.93
0.008021;2763.22;7.40;38.24
0.009021;2762.44;8.32;38.24
0.010021;2762.51;9.24;36.73
0.011021;2760.97;10.16;36.07
0.012021;2759.85;11.08;33.98
0.013021;2758.52;12.00;32.20
0.014021;2757.03;12.92;32.11
0.015021;2755.72;13.84;30.61
0.016021;2754.87;14.75;29.31
0.017021;2753.38;15.67;29.03
0.018021;2753.02;16.59;27.15
0.019021;2751.87;17.51;25.99
0.020021;2748.75;18.42;24.49
0.021021;2748.94;19.34;23.24
0.022021;2747.28;20.26;23.50
0.023021;2744.00;21.17;24.56
0.024021;2745.39;22.09;20.61
0.025021;2741.08;23.00;22.43
0.026021;2741.49;23.92;22.61
0.027021;2740.46;24.83;18.27
0.028021;2738.45;25.74;17.72
0.029021;2736.94;26.65;19.35
0.030021;2735.00;27.57;20.45
0.031021;2734.69;28.48;20.71
0.032021;2730.70;29.39;18.10
0.033021;2733.49;30.30;16.10
0.034021;2725.95;31.21;19.09
0.035021;2734.02;32.12;11.80
0.036021;2722.60;33.03;19.77
0.037021;2727.04;33.94;15.84
0.038021;2724.27;34.85;17.41
0.039021;2722.31;35.75;19.83
0.040021;2722.74;36.66;15.38
0.041021;2720.89;37.57;14.62
0.042021;2721.17;38.48;13.06
0.043021;2716.82;39.38;14.32
0.044021;2717.41;40.29;17.99
0.045021;2713.65;41.19;18.09
0.046021;2715.29;42.10;15.29
0.047021;2715.57;43.00;14.05
0.048021;2714.11;43.91;13.53
0.049021;2712.47;44.81;15.75
0.050021;2708.06;45.72;12.56
0.051021;2707.31;46.62;15.41
0.052021;2704.96;47.52;14.96
0.053021;2705.25;48.42;13.42
0.054021;2705.73;49.32;13.87
0.055021;2701.16;50.22;13.97
0.056021;2699.44;51.13;14.26
0.057021;2699.95;52.02;15.93
0.058021;2697.41;52.92;16.93
0.059021;2698.33;53.82;15.28
0.060021;2696.28;54.72;14.86
0.061021;2692.70;55.62;15.01
0.062021;2695.88;56.52;13.45
0.063021;2692.59;57.42;14.57
0.064021;2689.45;58.31;13.66
0.065021;2694.56;59.21;8.42
0.066021;2683.43;60.11;12.91
