sep=;
Device ID;LBR-0002092;;
Series No;0085
Shot No;0026

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2782.31;0.00;-
0.007021;2769.20;6.49;40.51
0.008021;2772.91;7.41;37.67
0.009021;2768.14;8.34;38.77
0.010021;2770.78;9.26;36.30
0.011021;2768.10;10.18;36.92
0.012021;2766.77;11.10;36.37
0.013021;2765.28;12.03;34.24
0.014021;2764.09;12.95;32.46
0.015021;2762.62;13.87;31.57
0.016021;2761.56;14.79;29.13
0.017021;2760.91;15.71;29.07
0.018021;2758.76;16.63;28.19
0.019021;2757.20;17.55;26.73
0.020021;2754.89;18.47;25.20
0.021021;2754.71;19.39;24.74
0.022021;2752.36;20.30;24.19
0.023021;2749.95;21.22;23.76
0.024021;2750.87;22.14;21.25
0.025021;2747.20;23.05;23.68
0.026021;2746.43;23.97;23.91
0.027021;2746.31;24.89;19.50
0.028021;2744.79;25.80;18.82
0.029021;2742.95;26.72;19.94
0.030021;2741.34;27.63;20.20
0.031021;2740.39;28.54;20.20
0.032021;2740.84;29.46;16.92
0.033021;2733.92;30.37;15.91
0.034021;2726.24;31.28;19.54
0.035021;2736.84;32.19;14.32
0.036021;2730.86;33.10;18.26
0.037021;2732.59;34.01;14.96
0.038021;2732.08;34.92;17.00
0.039021;2726.41;35.83;20.89
0.040021;2727.30;36.74;19.02
0.041021;2726.21;37.65;12.87
0.042021;2727.90;38.56;14.47
0.043021;2721.87;39.47;13.78
0.044021;2720.52;40.37;16.55
0.045021;2721.16;41.28;16.35
0.046021;2718.06;42.19;17.24
0.047021;2718.30;43.09;14.47
0.048021;2715.73;44.00;16.97
0.049021;2714.20;44.90;11.80
0.050021;2713.33;45.81;14.72
0.051021;2712.85;46.71;15.06
0.052021;2709.03;47.62;16.13
0.053021;2710.65;48.52;14.76
0.054021;2705.39;49.42;10.42
0.055021;2708.13;50.33;13.78
0.056021;2703.80;51.23;15.26
0.057021;2703.51;52.13;15.38
0.058021;2704.89;53.03;15.66
0.059021;2701.10;53.93;15.11
0.060021;2703.21;54.83;12.60
0.061021;2701.58;55.73;9.75
0.062021;2696.56;56.63;12.43
0.063021;2699.83;57.53;13.22
0.064021;2696.68;58.43;13.32
0.065021;2694.25;59.33;12.71
0.066021;2694.89;60.23;14.52
