sep=;
Device ID;LBR-0002092;;
Series No;0085
Shot No;0014

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2769.85;0.00;-
0.007021;2757.60;6.46;37.45
0.008021;2759.93;7.38;34.40
0.009021;2756.85;8.30;35.73
0.010021;2758.55;9.22;32.23
0.011021;2756.25;10.14;32.79
0.012021;2755.17;11.06;32.42
0.013021;2753.86;11.98;32.52
0.014021;2752.74;12.90;31.93
0.015021;2751.38;13.81;30.79
0.016021;2750.04;14.73;29.34
0.017021;2748.75;15.65;27.69
0.018021;2748.56;16.56;27.89
0.019021;2746.93;17.48;27.20
0.020021;2743.72;18.39;27.50
0.021021;2742.61;19.31;26.94
0.022021;2741.89;20.22;26.50
0.023021;2738.89;21.14;25.12
0.024021;2740.08;22.05;22.97
0.025021;2735.91;22.96;24.39
0.026021;2734.45;23.87;25.93
0.027021;2735.46;24.78;21.80
0.028021;2734.63;25.70;22.57
0.029021;2732.01;26.61;23.38
0.030021;2730.59;27.52;21.34
0.031021;2729.64;28.43;20.90
0.032021;2729.06;29.34;20.62
0.033021;2723.82;30.25;18.40
0.034021;2719.36;31.15;23.07
0.035021;2726.19;32.06;17.95
0.036021;2719.71;32.97;18.31
0.037021;2724.08;33.88;17.18
0.038021;2720.57;34.78;16.12
0.039021;2714.50;35.69;21.44
0.040021;2714.93;36.59;20.19
0.041021;2715.09;37.50;16.36
0.042021;2719.69;38.40;14.93
0.043021;2712.74;39.31;13.46
0.044021;2712.63;40.21;16.56
0.045021;2709.72;41.12;13.81
0.046021;2705.24;42.02;12.94
0.047021;2708.09;42.92;11.53
0.048021;2705.36;43.83;8.71
0.049021;2704.23;44.73;9.87
0.050021;2704.38;45.63;12.63
0.051021;2704.48;46.53;10.45
0.052021;2701.37;47.43;12.20
0.053021;2707.94;48.33;10.22
0.061021;2692.12;55.53;8.56
0.062021;2687.46;56.43;9.26
0.067021;2685.54;60.91;8.38
