sep=;
Device ID;LBR-0002092;;
Series No;0085
Shot No;0013

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2765.40;0.00;-
0.006021;2757.06;5.54;33.98
0.007021;2754.58;6.46;33.77
0.008021;2753.29;7.37;32.68
0.009021;2751.71;8.29;31.72
0.010021;2750.53;9.21;30.71
0.011021;2749.43;10.12;30.70
0.012021;2748.24;11.04;29.65
0.013021;2746.98;11.96;28.66
0.014021;2745.12;12.87;27.97
0.015021;2744.01;13.79;26.56
0.016021;2743.00;14.70;25.23
0.017021;2740.94;15.62;25.90
0.018021;2741.46;16.53;24.96
0.019021;2739.20;17.44;23.80
0.020021;2736.16;18.36;23.70
0.021021;2738.35;19.27;19.85
0.022021;2732.33;20.18;24.90
0.023021;2732.58;21.09;23.25
0.024021;2734.08;22.00;21.97
0.025021;2730.35;22.91;21.85
0.026021;2729.35;23.82;21.16
0.027021;2725.68;24.73;20.72
0.028021;2724.73;25.64;20.46
0.029021;2720.06;26.55;20.89
0.030021;2724.29;27.45;16.23
0.031021;2719.58;28.36;19.87
0.032021;2725.10;29.27;17.20
0.033021;2719.75;30.18;16.94
0.034021;2719.83;31.08;15.73
0.035021;2716.56;31.99;16.76
0.036021;2714.55;32.89;20.06
0.037021;2715.20;33.80;16.43
0.038021;2715.92;34.70;13.63
0.039021;2713.40;35.61;14.03
0.040021;2711.43;36.51;12.73
0.041021;2708.03;37.42;14.66
0.042021;2707.64;38.32;13.41
0.043021;2705.90;39.22;16.16
0.044021;2705.14;40.12;11.57
0.045021;2703.52;41.03;11.07
0.047021;2702.50;42.83;7.03
0.050021;2687.42;45.52;9.41
0.051021;2697.14;46.42;7.95
0.053021;2697.89;48.22;7.48
0.054021;2693.70;49.12;11.46
0.055021;2687.25;50.01;11.82
0.056021;2697.62;50.91;8.08
