sep=;
Device ID;LBR-0002092;;
Series No;0085
Shot No;0008

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2765.03;0.00;-
0.007021;2752.76;6.45;34.02
0.008021;2754.45;7.37;30.83
0.009021;2752.10;8.29;31.80
0.010021;2753.22;9.20;28.53
0.011021;2750.50;10.12;27.97
0.012021;2749.77;11.04;26.35
0.013021;2748.22;11.96;27.77
0.014021;2747.12;12.87;27.22
0.015021;2745.24;13.79;25.72
0.016021;2744.84;14.70;24.92
0.017021;2743.07;15.62;24.13
0.018021;2742.01;16.53;22.14
0.019021;2739.44;17.44;20.78
0.020021;2737.07;18.36;21.18
0.021021;2735.74;19.27;21.41
0.022021;2734.75;20.18;21.77
0.023021;2734.72;21.09;20.38
0.024021;2733.03;22.00;19.40
0.025021;2730.35;22.91;18.95
0.026021;2731.69;23.82;17.96
0.027021;2731.82;24.73;17.72
0.028021;2728.11;25.64;13.39
0.029021;2727.62;26.55;18.05
0.030021;2724.25;27.46;17.13
0.031021;2723.10;28.37;16.20
0.032021;2723.67;29.28;12.29
0.033021;2716.16;30.19;14.24
0.034021;2714.77;31.09;15.15
0.035021;2717.19;32.00;10.40
0.036021;2714.53;32.90;11.87
0.037021;2718.15;33.81;7.33
0.038021;2715.38;34.71;11.77
0.039021;2710.61;35.62;13.05
0.040021;2712.30;36.52;12.22
0.041021;2715.97;37.42;8.38
0.043021;2704.75;39.23;9.95
0.044021;2702.30;40.13;11.43
0.045021;2704.64;41.03;11.69
0.046021;2707.06;41.94;9.91
0.048021;2691.16;43.74;9.64
