sep=;
Device ID;LBR-0002092;;
Series No;0085
Shot No;0027

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2772.29;0.00;-
0.007021;2760.36;6.47;39.57
0.008021;2762.90;7.39;37.85
0.009021;2760.04;8.31;36.58
0.010021;2759.00;9.23;36.50
0.011021;2757.47;10.15;37.30
0.012021;2756.29;11.07;36.88
0.013021;2754.99;11.99;36.11
0.014021;2753.81;12.91;34.76
0.015021;2752.83;13.83;33.82
0.016021;2751.41;14.74;31.88
0.017021;2749.69;15.66;30.70
0.018021;2747.43;16.58;30.31
0.019021;2746.59;17.49;29.49
0.020021;2744.62;18.41;29.46
0.021021;2742.71;19.32;29.63
0.022021;2743.15;20.24;27.20
0.023021;2740.78;21.15;27.98
0.024021;2739.30;22.06;28.78
0.025021;2739.03;22.98;24.78
0.026021;2737.89;23.89;23.26
0.027021;2736.14;24.80;26.31
0.028021;2735.11;25.71;26.45
0.029021;2733.98;26.62;25.23
0.030021;2733.18;27.54;24.23
0.031021;2727.67;28.45;23.06
0.032021;2723.87;29.35;25.35
0.033021;2729.89;30.26;19.86
0.034021;2723.86;31.17;23.90
0.035021;2726.44;32.08;21.39
0.036021;2723.84;32.99;22.77
0.037021;2720.38;33.90;24.66
0.038021;2720.55;34.80;23.44
0.039021;2721.46;35.71;19.83
0.040021;2716.52;36.62;17.67
0.041021;2718.68;37.52;18.74
0.042021;2715.43;38.43;19.18
0.043021;2713.35;39.33;20.86
0.044021;2711.75;40.24;16.70
0.045021;2710.55;41.14;18.43
0.046021;2712.10;42.04;16.08
0.047021;2712.10;42.95;15.51
0.048021;2706.03;43.85;17.23
0.049021;2704.78;44.75;12.33
0.050021;2706.71;45.66;14.92
0.051021;2705.16;46.56;11.32
0.052021;2705.67;47.46;11.72
0.053021;2698.12;48.36;11.14
0.054021;2694.02;49.26;13.62
0.055021;2695.83;50.16;13.96
0.056021;2696.71;51.06;9.41
0.057021;2696.38;51.95;10.04
0.058021;2691.61;52.85;14.68
0.059021;2688.64;53.75;9.37
0.060021;2686.84;54.64;11.58
0.061021;2693.16;55.54;7.75
0.062021;2694.84;56.44;11.67
0.063021;2695.02;57.34;7.66
0.065021;2681.45;59.13;10.01
