sep=;
Device ID;LBR-0002092;;
Series No;0085
Shot No;0011

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2770.17;0.00;-
0.007021;2758.41;6.47;37.81
0.008021;2760.95;7.39;34.01
0.009021;2758.42;8.31;33.06
0.010021;2757.07;9.23;34.39
0.011021;2755.71;10.15;33.82
0.012021;2754.55;11.06;33.67
0.013021;2753.39;11.98;33.38
0.014021;2752.14;12.90;31.38
0.015021;2750.96;13.82;29.78
0.016021;2749.05;14.73;28.22
0.017021;2747.20;15.65;28.54
0.018021;2747.29;16.56;28.23
0.019021;2745.38;17.48;28.19
0.020021;2745.14;18.40;26.58
0.021021;2743.34;19.31;25.87
0.022021;2739.18;20.22;26.26
0.023021;2743.97;21.14;22.88
0.024021;2736.86;22.05;26.89
0.025021;2736.58;22.96;25.30
0.026021;2737.89;23.88;22.10
0.027021;2735.42;24.79;23.84
0.028021;2732.91;25.70;23.64
0.029021;2730.13;26.61;22.08
0.030021;2727.59;27.52;22.30
0.031021;2724.02;28.43;23.34
0.032021;2731.91;29.34;19.44
0.033021;2724.73;30.25;23.38
0.034021;2726.35;31.16;16.33
0.035021;2723.86;32.06;21.03
0.036021;2724.88;32.97;17.31
0.037021;2720.44;33.88;21.33
0.038021;2719.43;34.79;21.09
0.039021;2714.52;35.69;18.04
0.040021;2726.54;36.60;12.15
0.041021;2718.50;37.51;15.57
0.042021;2716.26;38.41;15.32
0.043021;2711.52;39.32;17.30
0.044021;2710.07;40.22;16.91
0.045021;2708.34;41.12;16.19
0.046021;2706.90;42.03;15.25
0.047021;2701.51;42.93;8.91
0.048021;2706.55;43.83;13.95
0.050021;2705.11;45.63;9.26
0.051021;2703.60;46.53;8.83
0.052021;2701.73;47.43;14.49
0.053021;2691.58;48.33;11.10
0.055021;2707.93;50.13;11.41
0.060021;2693.59;54.63;9.51
0.063021;2687.54;57.33;9.69
0.065021;2672.36;59.11;9.68
0.066021;2683.17;60.00;9.61
0.067021;2682.85;60.90;8.21
