sep=;
Device ID;LBR-0002092;;
Series No;0085
Shot No;0023

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2765.98;0.00;-
0.007021;2755.41;6.46;40.39
0.008021;2754.51;7.37;41.00
0.009021;2754.86;8.29;39.86
0.010021;2754.03;9.21;38.09
0.011021;2752.63;10.13;38.31
0.012021;2751.38;11.05;36.18
0.013021;2750.10;11.96;34.29
0.014021;2748.87;12.88;34.10
0.015021;2747.46;13.79;33.38
0.016021;2746.10;14.71;32.50
0.017021;2744.94;15.63;31.00
0.018021;2743.88;16.54;29.40
0.019021;2743.18;17.45;28.10
0.020021;2741.34;18.37;26.96
0.021021;2739.40;19.28;24.82
0.022021;2739.14;20.20;25.76
0.023021;2736.01;21.11;26.51
0.024021;2737.86;22.02;22.51
0.025021;2732.89;22.93;25.14
0.026021;2732.36;23.84;24.07
0.027021;2732.15;24.75;20.22
0.028021;2731.33;25.66;20.92
0.029021;2728.72;26.57;22.08
0.030021;2726.48;27.48;23.38
0.031021;2724.78;28.39;22.39
0.032021;2723.22;29.30;20.97
0.033021;2726.00;30.21;19.89
0.034021;2717.35;31.12;21.53
0.035021;2725.91;32.02;16.91
0.036021;2716.25;32.93;21.06
0.037021;2718.91;33.84;18.42
0.038021;2716.96;34.74;19.14
0.039021;2712.67;35.65;21.29
0.040021;2713.67;36.55;20.84
0.041021;2715.57;37.46;15.38
0.042021;2712.61;38.36;17.11
0.043021;2710.30;39.26;17.94
0.044021;2707.49;40.17;18.70
0.045021;2705.87;41.07;19.70
0.046021;2706.90;41.97;18.47
0.047021;2707.30;42.87;16.46
0.048021;2702.73;43.78;13.44
0.049021;2703.60;44.68;11.83
0.050021;2704.87;45.58;16.22
0.051021;2698.71;46.48;17.74
0.052021;2696.55;47.38;18.37
0.053021;2696.40;48.28;15.28
0.054021;2692.86;49.18;15.40
0.055021;2693.86;50.07;14.98
0.056021;2691.51;50.97;16.26
0.057021;2693.66;51.87;13.28
0.058021;2692.34;52.77;15.07
0.059021;2684.18;53.66;12.39
0.060021;2685.02;54.56;13.47
0.061021;2679.35;55.45;10.04
0.063021;2683.32;57.24;8.54
0.064021;2680.92;58.13;12.77
0.066021;2680.19;59.92;11.11
0.067021;2681.27;60.81;8.91
