sep=;
Device ID;LBR-0002092;;
Series No;0085
Shot No;0020

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2775.09;0.00;-
0.007021;2763.00;6.48;40.18
0.008021;2764.30;7.40;38.09
0.009021;2762.26;8.32;38.54
0.010021;2763.48;9.24;35.96
0.011021;2761.49;10.16;35.79
0.012021;2759.97;11.08;34.41
0.013021;2758.81;12.00;35.13
0.014021;2757.57;12.92;34.54
0.015021;2755.90;13.84;33.64
0.016021;2754.49;14.76;32.71
0.017021;2753.88;15.67;31.15
0.018021;2752.66;16.59;30.02
0.019021;2751.05;17.51;29.24
0.020021;2748.72;18.43;27.93
0.021021;2747.61;19.34;27.62
0.022021;2745.97;20.26;27.48
0.023021;2743.87;21.17;27.86
0.024021;2743.92;22.09;24.42
0.025021;2741.16;23.00;25.54
0.026021;2740.31;23.92;26.21
0.027021;2739.95;24.83;22.48
0.028021;2738.50;25.74;21.94
0.029021;2736.77;26.65;23.27
0.030021;2734.63;27.57;24.08
0.031021;2734.13;28.48;24.13
0.032021;2734.72;29.39;22.11
0.033021;2728.00;30.30;20.21
0.034021;2723.54;31.21;23.76
0.035021;2729.85;32.12;15.55
0.036021;2722.50;33.03;23.07
0.037021;2725.57;33.93;19.84
0.038021;2725.72;34.84;19.95
0.039021;2722.17;35.75;21.53
0.040021;2720.14;36.66;19.87
0.041021;2716.40;37.56;16.33
0.042021;2725.71;38.47;15.16
0.043021;2715.90;39.38;18.21
0.044021;2717.66;40.28;18.84
0.045021;2712.44;41.19;18.26
0.046021;2713.04;42.09;17.51
0.047021;2711.67;43.00;17.22
0.048021;2708.44;43.90;11.40
0.049021;2707.53;44.80;12.53
0.050021;2706.58;45.70;12.52
0.051021;2707.37;46.61;14.00
0.052021;2703.81;47.51;12.48
0.055021;2690.07;50.21;11.75
0.056021;2700.72;51.10;11.95
0.057021;2700.50;52.00;10.79
0.058021;2694.46;52.90;11.81
0.059021;2694.56;53.80;12.67
0.060021;2696.10;54.70;14.11
0.061021;2680.99;55.60;8.15
0.062021;2694.19;56.49;9.54
0.066021;2678.30;60.07;7.56
