sep=;
Device ID;LBR-0002092;;
Series No;0085
Shot No;0017

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2779.04;0.00;-
0.007021;2766.69;6.49;36.79
0.008021;2769.46;7.41;32.33
0.009021;2766.51;8.33;33.57
0.010021;2765.28;9.25;32.86
0.011021;2763.52;10.18;33.45
0.012021;2762.50;11.10;32.97
0.013021;2761.77;12.02;31.72
0.014021;2760.01;12.94;29.83
0.015021;2759.05;13.86;28.75
0.016021;2756.59;14.78;28.65
0.017021;2755.59;15.70;28.19
0.018021;2753.79;16.61;28.10
0.019021;2753.01;17.53;27.86
0.020021;2750.94;18.45;27.59
0.021021;2748.93;19.37;27.08
0.022021;2749.47;20.28;23.77
0.023021;2746.24;21.20;25.05
0.024021;2745.46;22.11;27.50
0.025021;2745.49;23.03;23.86
0.026021;2744.52;23.94;23.90
0.027021;2740.10;24.86;23.20
0.028021;2739.04;25.77;21.59
0.029021;2739.14;26.68;23.28
0.030021;2737.15;27.60;21.18
0.031021;2735.85;28.51;20.55
0.032021;2730.54;29.42;23.79
0.033021;2734.91;30.33;17.75
0.034021;2726.59;31.24;19.67
0.035021;2732.42;32.15;17.45
0.036021;2731.23;33.06;18.06
0.037021;2725.56;33.97;22.07
0.038021;2726.16;34.88;20.32
0.039021;2725.41;35.79;16.24
0.040021;2720.73;36.70;14.58
0.041021;2724.93;37.60;15.30
0.042021;2723.01;38.51;12.77
0.043021;2718.30;39.42;14.98
0.044021;2715.45;40.32;15.27
0.045021;2721.99;41.23;13.59
0.047021;2729.76;43.05;10.39
0.049021;2717.26;44.86;13.50
0.050021;2703.53;45.77;13.34
0.051021;2699.62;46.67;10.67
0.054021;2705.63;49.37;8.35
0.055021;2704.39;50.27;10.87
0.056021;2696.30;51.17;9.08
0.057021;2698.68;52.07;10.05
0.058021;2697.26;52.97;8.68
0.062021;2695.11;56.57;9.96
0.064021;2687.77;58.36;9.98
